driver,lap,pos,life,compound,time,avg_prev_3_time,pace_delta
RUS,15,5.0,15,MEDIUM,93.495,94.11733333333332,1.3693333333333157
HAM,15,6.0,15,MEDIUM,93.777,94.01133333333333,1.2633333333333212
COL,15,7.0,15,MEDIUM,94.124,94.44033333333334,1.6923333333333375
SAI,15,8.0,15,MEDIUM,94.223,94.67433333333334,1.9263333333333321
ALB,15,9.0,15,MEDIUM,95.47,94.64,1.891999999999996
VER,15,10.0,9,HARD,93.552,94.32466666666666,1.5766666666666538
BEA,15,11.0,15,MEDIUM,95.111,94.97266666666667,2.224666666666664
OCO,15,12.0,15,MEDIUM,95.665,95.04833333333333,2.3003333333333273
LIN,15,13.0,15,MEDIUM,96.164,95.90499999999999,3.1569999999999823
BOR,15,14.0,15,MEDIUM,95.722,96.17200000000001,3.4240000000000066
PER,15,15.0,15,MEDIUM,96.214,96.70899999999999,3.9609999999999843
BOT,15,16.0,9,SOFT,96.355,96.45166666666667,3.7036666666666633
ALO,15,17.0,15,MEDIUM,97.635,96.54366666666665,3.795666666666648
STR,15,18.0,15,MEDIUM,100.953,96.70299999999999,3.954999999999984
NOR,16,1.0,16,MEDIUM,92.87,92.89166666666667,0.0
ANT,16,2.0,16,MEDIUM,93.658,93.18799999999999,0.29633333333332246
LEC,16,3.0,16,MEDIUM,93.536,93.89500000000002,1.0033333333333587
PIA,16,4.0,16,MEDIUM,93.744,93.39333333333333,0.5016666666666652
RUS,16,5.0,16,MEDIUM,93.565,93.632,0.7403333333333393
HAM,16,6.0,16,MEDIUM,93.705,93.69500000000001,0.8033333333333417
COL,16,7.0,16,MEDIUM,94.137,94.10366666666668,1.2120000000000175
SAI,16,8.0,16,MEDIUM,94.767,94.36166666666666,1.4699999999999989
ALB,16,9.0,16,MEDIUM,95.245,94.728,1.8363333333333287
VER,16,10.0,10,HARD,94.118,93.58066666666667,0.6890000000000072
BEA,16,11.0,16,MEDIUM,94.876,94.92,2.028333333333336
OCO,16,12.0,16,MEDIUM,95.196,95.199,2.3073333333333323
LIN,16,13.0,16,MEDIUM,95.817,95.70099999999998,2.8093333333333135
BOR,16,14.0,16,MEDIUM,95.485,95.69266666666665,2.8009999999999877
PER,16,15.0,16,MEDIUM,96.404,96.46333333333332,3.5716666666666583
BOT,16,16.0,10,SOFT,96.08,96.43033333333334,3.5386666666666713
ALO,16,17.0,16,MEDIUM,96.143,96.822,3.930333333333337
STR,16,18.0,16,MEDIUM,96.974,97.87333333333333,4.981666666666669
NOR,17,1.0,17,MEDIUM,93.094,92.88366666666667,0.0
ANT,17,2.0,17,MEDIUM,93.053,93.384,0.5003333333333302
LEC,17,3.0,17,MEDIUM,95.457,93.61333333333334,0.7296666666666738
PIA,17,4.0,17,MEDIUM,94.581,93.48700000000001,0.6033333333333388
RUS,17,5.0,17,MEDIUM,93.99,93.62599999999999,0.7423333333333204
HAM,17,6.0,17,MEDIUM,94.005,93.67866666666667,0.7950000000000017
COL,17,7.0,17,MEDIUM,94.4,94.06733333333334,1.1836666666666673
SAI,17,8.0,17,MEDIUM,94.819,94.32266666666665,1.4389999999999787
VER,17,9.0,11,HARD,93.799,93.76666666666667,0.8829999999999956
ALB,17,10.0,17,MEDIUM,95.824,94.95866666666666,2.0749999999999886
BEA,17,11.0,17,MEDIUM,95.207,94.86800000000001,1.984333333333339
OCO,17,12.0,17,MEDIUM,95.127,95.241,2.3573333333333295
LIN,17,13.0,17,MEDIUM,95.95,95.73799999999999,2.854333333333315
BOR,17,14.0,17,MEDIUM,95.493,95.67133333333334,2.7876666666666665
PER,17,15.0,17,MEDIUM,96.436,96.39633333333332,3.5126666666666466
